Coordonnees,Categorie,activities_name
"{""type"":""Point"",""coordinates"":[-4.0486316,5.4435863]}",Coiffeurs(ses),Lawas Coiffure
"{""type"":""Point"",""coordinates"":[-4.0960249,5.3346693]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-3.9503856,5.2874601]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9505512,5.2979128]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9504171,5.2979652]}",Coiffeurs(ses),Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9502015,5.297996]}",Accessoires de beaute,Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0374682,5.4373085]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0368868,5.4371493]}",Accessoires de beaute,Salon De Beaute Dame
"{""type"":""Point"",""coordinates"":[-4.0357637,5.4370244]}",Accessoires de beaute,Magasin De Meche
"{""type"":""Point"",""coordinates"":[-4.0349624,5.4369043]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0462828,5.4376356]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0476472,5.438706]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0479218,5.4391275]}",Coiffeurs(ses),Coiffure Patron Paulin
"{""type"":""Point"",""coordinates"":[-4.0451997,5.4376755]}",Coiffeurs(ses),Coiffure Homme M'En Sa'H
"{""type"":""Point"",""coordinates"":[-4.0390484,5.4373739]}",Accessoires de beaute,Abiba Coiffure
"{""type"":""Point"",""coordinates"":[-4.0603065,5.439774]}",Accessoires de beaute,Ami Coiffure
"{""type"":""Point"",""coordinates"":[-4.0599245,5.4401997]}",Coiffeurs(ses),Salon De Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0610073,5.4401575]}",Accessoires de beaute,Salon De Manicure
"{""type"":""Point"",""coordinates"":[-4.0609945,5.4430219]}",Accessoires de beaute,Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.0637991,5.4433292]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0652019,5.4432942]}",Coiffeurs(ses),Salam Coiffure
"{""type"":""Point"",""coordinates"":[-4.0665896,5.4420924]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0682799,5.4413389]}",Coiffeurs(ses),Tresor Coiffure
"{""type"":""Point"",""coordinates"":[-3.953272,5.2974039]}",Accessoires de beaute,Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.0531538,5.4375144]}",Coiffeurs(ses),Coiffure L'Excellence
"{""type"":""Point"",""coordinates"":[-4.0412749,5.4361493]}",Coiffeurs(ses),Vetement Homme
"{""type"":""Point"",""coordinates"":[-4.0415297,5.4363496]}",Coiffeurs(ses),Zanzan Coiffure
"{""type"":""Point"",""coordinates"":[-4.0421292,5.4365555]}",Accessoires de beaute,Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.0441959,5.4372154]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0529576,5.4425369]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0548187,5.4421658]}",Accessoires de beaute,Vicky Coiffure
"{""type"":""Point"",""coordinates"":[-4.0548577,5.442536]}",Coiffeurs(ses),Jojo Coiffure
"{""type"":""Point"",""coordinates"":[-4.0551369,5.4429141]}",Coiffeurs(ses),Shelby Coiffure
"{""type"":""Point"",""coordinates"":[-4.0553244,5.4432499]}",Accessoires de beaute,Eden Coiffure
"{""type"":""Point"",""coordinates"":[-3.9506216,5.2855505]}",Accessoires de beaute,Salon De Beute
"{""type"":""Point"",""coordinates"":[-3.9501107,5.2834926]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9521686,5.2975443]}",Accessoires de beaute,Salon De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0503676,5.4421217]}",Accessoires de beaute,Soin Esthetique Bibiche Nil
"{""type"":""Point"",""coordinates"":[-4.0500719,5.4417352]}",Accessoires de beaute,Veronique Coiffure
"{""type"":""Point"",""coordinates"":[-4.0502067,5.4368496]}",Accessoires de beaute,Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0579247,5.4315566]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0578838,5.4315934]}",Accessoires de beaute,Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.0587663,5.4342094]}",Coiffeurs(ses),Coiffure Dezoka
"{""type"":""Point"",""coordinates"":[-4.056532,5.4318156]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0628848,5.432562]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0691102,5.4285514]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0370531,5.4349985]}",Coiffeurs(ses),Tabote Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0357053,5.4324738]}",Accessoires de beaute,Charte Beaute
"{""type"":""Point"",""coordinates"":[-3.9679185,5.3007204]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9675105,5.3019513]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0394986,5.4263558]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0307608,5.4286735]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0326878,5.4279452]}",Coiffeurs(ses),Coiffure Vip
"{""type"":""Point"",""coordinates"":[-4.028566,5.4290821]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0501671,5.4238084]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0508876,5.4238401]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0443709,5.4199273]}",Accessoires de beaute,Coiffure Dame Elysee
"{""type"":""Point"",""coordinates"":[-3.948272,5.2966542]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0487627,5.432304]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-4.0385488,5.4286255]}",Coiffeurs(ses),Benito Coiffure
"{""type"":""Point"",""coordinates"":[-4.0565166,5.4529984]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.056182,5.4527053]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9641735,5.3035277]}",Coiffeurs(ses),Prestige Coiffure
"{""type"":""Point"",""coordinates"":[-3.9645973,5.3039213]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9660155,5.3034546]}",Accessoires de beaute,Rosine Coiffure
"{""type"":""Point"",""coordinates"":[-4.0754905,5.4383682]}",Accessoires de beaute,Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9495897,5.284382]}",Coiffeurs(ses),Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0540587,5.449885]}",Coiffeurs(ses),Coiffure Salon Des Pros
"{""type"":""Point"",""coordinates"":[-4.0552935,5.4497395]}",Coiffeurs(ses),Salon Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0562319,5.4497462]}",Accessoires de beaute,Salon Elegance Coiffure
"{""type"":""Point"",""coordinates"":[-4.0564482,5.4505746]}",Coiffeurs(ses),Salon Divine Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0579241,5.4507348]}",Accessoires de beaute,Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0593108,5.4507982]}",Accessoires de beaute,Institut De Beaute La Connexion
"{""type"":""Point"",""coordinates"":[-4.0593544,5.450889]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0601808,5.4521493]}",Accessoires de beaute,Cocoon Beaute
"{""type"":""Point"",""coordinates"":[-4.0645377,5.4519804]}",Accessoires de beaute,Galerie Des Meches
"{""type"":""Point"",""coordinates"":[-4.0633462,5.4525284]}",Accessoires de beaute,Yira Fashion Hair
"{""type"":""Point"",""coordinates"":[-4.0639081,5.4538298]}",Accessoires de beaute,Yira Hair
"{""type"":""Point"",""coordinates"":[-4.0620094,5.4550323]}",Coiffeurs(ses),Come Chezvous
"{""type"":""Point"",""coordinates"":[-4.0617717,5.4549862]}",Accessoires de beaute,Come Chez Vous
"{""type"":""Point"",""coordinates"":[-4.0617228,5.4549161]}",Coiffeurs(ses),Celeste &Win Beauty
"{""type"":""Point"",""coordinates"":[-4.0610133,5.4545383]}",Accessoires de beaute,Assiby Cils
"{""type"":""Point"",""coordinates"":[-4.0535008,5.4449173]}",Accessoires de beaute,Tatatou Onglerie
"{""type"":""Point"",""coordinates"":[-4.0513667,5.4470901]}",Coiffeurs(ses),Jean-Louis David
"{""type"":""Point"",""coordinates"":[-4.0513305,5.4470381]}",Accessoires de beaute,Mienmoh Esthetique
"{""type"":""Point"",""coordinates"":[-4.0508531,5.4461983]}",Coiffeurs(ses),Univers Dreads
"{""type"":""Point"",""coordinates"":[-4.0527605,5.4475434]}",Coiffeurs(ses),Eulafa Coiffure
"{""type"":""Point"",""coordinates"":[-3.9469504,5.3056312]}",Coiffeurs(ses),Coiffure Yvy Style
"{""type"":""Point"",""coordinates"":[-4.0247502,5.4246329]}",Accessoires de beaute,Diva Boutique Vente De Meches
"{""type"":""Point"",""coordinates"":[-4.0249483,5.4247103]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.023914,5.4248348]}",Coiffeurs(ses),Coiffure Jce
"{""type"":""Point"",""coordinates"":[-4.0244454,5.4228278]}",Coiffeurs(ses),Coiffure Attoban
"{""type"":""Point"",""coordinates"":[-4.0241973,5.4233034]}",Coiffeurs(ses),Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.024033,5.4246028]}",Accessoires de beaute,Essentiel Beauty
"{""type"":""Point"",""coordinates"":[-4.0241329,5.4245241]}",Coiffeurs(ses),Klass'C Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9469893,5.2849475]}",Coiffeurs(ses),Amenan Coiffure
"{""type"":""Point"",""coordinates"":[-4.0529627,5.4480827]}",Accessoires de beaute,Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0527615,5.4476982]}",Accessoires de beaute,Salon Moderne De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0521671,5.447263]}",Accessoires de beaute,Salons De Esthetiques
"{""type"":""Point"",""coordinates"":[-4.0529137,5.4460021]}",Accessoires de beaute,Institut De Beaute
"{""type"":""Point"",""coordinates"":[-4.0530991,5.4451263]}",Accessoires de beaute,Beaute
"{""type"":""Point"",""coordinates"":[-4.053879,5.4454487]}",Coiffeurs(ses),Salon De Coiffure Paix & Amour
"{""type"":""Point"",""coordinates"":[-4.0545613,5.4451256]}",Accessoires de beaute,Onglerie
"{""type"":""Point"",""coordinates"":[-4.0562182,5.4464513]}",Accessoires de beaute,Angel Beaute
"{""type"":""Point"",""coordinates"":[-4.0701633,5.4381135]}",Accessoires de beaute,Institut Canaan De Beaute
"{""type"":""Point"",""coordinates"":[-4.0688197,5.4381197]}",Accessoires de beaute,Institut De Beaute
"{""type"":""Point"",""coordinates"":[-4.0721639,5.4360378]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.05572,5.4444925]}",Accessoires de beaute,Inaya Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0560335,5.4448593]}",Accessoires de beaute,Esthair Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0563201,5.4451777]}",Coiffeurs(ses),Royal Coiffure
"{""type"":""Point"",""coordinates"":[-3.9552195,5.3002902]}",Accessoires de beaute,Salon Moderne De Coiffure Dame
"{""type"":""Point"",""coordinates"":[-3.9561296,5.2941157]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9564481,5.294738]}",Accessoires de beaute,Institut De Beaute Uagfa
"{""type"":""Point"",""coordinates"":[-3.9591135,5.2993009]}",Coiffeurs(ses),Elephant Coiffure Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9601234,5.3009161]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-4.0328206,5.4359137]}",Accessoires de beaute,Fashion Coiffure
"{""type"":""Point"",""coordinates"":[-4.0332989,5.4361034]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-4.0307835,5.4340759]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9574609,5.297034]}",Accessoires de beaute,Salon Akwaba
"{""type"":""Point"",""coordinates"":[-3.9584165,5.2987221]}",Accessoires de beaute,Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-3.9570871,5.2975716]}",Accessoires de beaute,Soura Coiffure
"{""type"":""Point"",""coordinates"":[-4.0298125,5.4337261]}",Accessoires de beaute,Reine Coiffure
"{""type"":""Point"",""coordinates"":[-4.0588233,5.4494845]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-4.0604261,5.447614]}",Coiffeurs(ses),Kdf Coiffure
"{""type"":""Point"",""coordinates"":[-4.0612386,5.4469273]}",Coiffeurs(ses),Coiffure Jean Bassa
"{""type"":""Point"",""coordinates"":[-4.0572951,5.4438994]}",Accessoires de beaute,Grace Beaute Coiffure
"{""type"":""Point"",""coordinates"":[-4.0251904,5.4294272]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-3.9569739,5.2958906]}",Accessoires de beaute,Onglerie
"{""type"":""Point"",""coordinates"":[-4.0640368,5.4465227]}",Coiffeurs(ses),Beceao Coiffure
"{""type"":""Point"",""coordinates"":[-4.0630618,5.4473501]}",Accessoires de beaute,Carpe Diem Salon Beaute
"{""type"":""Point"",""coordinates"":[-4.0629874,5.4473825]}",Accessoires de beaute,Hello Beaute
"{""type"":""Point"",""coordinates"":[-4.0628761,5.4492769]}",Accessoires de beaute,Marrakech Coiffure
"{""type"":""Point"",""coordinates"":[-4.0707481,5.4432101]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-4.0711511,5.4432308]}",Accessoires de beaute,Coiffure 2.0
"{""type"":""Point"",""coordinates"":[-4.0725255,5.4407788]}",Accessoires de beaute,Kaem Beaute
"{""type"":""Point"",""coordinates"":[-4.0717891,5.440021]}",Accessoires de beaute,In Style Room Onglerie
"{""type"":""Point"",""coordinates"":[-4.0715319,5.4413634]}",Accessoires de beaute,Be You Juful Onglerie
"{""type"":""Point"",""coordinates"":[-4.0712496,5.4429845]}",Accessoires de beaute,Minnie Et Mickey Coiffure
"{""type"":""Point"",""coordinates"":[-3.960006,5.2979689]}",Accessoires de beaute,Maf Salon Tissage
"{""type"":""Point"",""coordinates"":[-3.9605089,5.3012092]}",Accessoires de beaute,Femme Vip Esthetique
"{""type"":""Point"",""coordinates"":[-3.9612412,5.3010209]}",Accessoires de beaute,Aya Kan Esthetique
"{""type"":""Point"",""coordinates"":[-3.9578508,5.301325]}",Accessoires de beaute,Salon Beaute
"{""type"":""Point"",""coordinates"":[-3.9566912,5.3016239]}",Accessoires de beaute,Divine Coiffure
"{""type"":""Point"",""coordinates"":[-3.9561912,5.3006957]}",Coiffeurs(ses),Salon De Coiffure Anaeli
"{""type"":""Point"",""coordinates"":[-3.954647,5.3021019]}",Coiffeurs(ses),Hair Dress
"{""type"":""Point"",""coordinates"":[-3.9542138,5.3021767]}",Accessoires de beaute,Coiffure Grace Divine
"{""type"":""Point"",""coordinates"":[-3.9546134,5.2993724]}",Coiffeurs(ses),Salon De Couture
"{""type"":""Point"",""coordinates"":[-4.0803542,5.4471417]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0803066,5.4471105]}",Accessoires de beaute,Beauty Ladies Shop
"{""type"":""Point"",""coordinates"":[-4.0609288,5.445723]}",Coiffeurs(ses),Benaia
"{""type"":""Point"",""coordinates"":[-4.0610918,5.4460949]}",Accessoires de beaute,China Moutai Beauty
"{""type"":""Point"",""coordinates"":[-4.0611166,5.4461503]}",Accessoires de beaute,Feminine Naturelle
"{""type"":""Point"",""coordinates"":[-4.0611327,5.4461743]}",Coiffeurs(ses),Docteur Make
"{""type"":""Point"",""coordinates"":[-3.9579171,5.296534]}",Coiffeurs(ses),Providence Coiffeur
"{""type"":""Point"",""coordinates"":[-4.0611903,5.4442418]}",Accessoires de beaute,Ho My Nail Onglerie
"{""type"":""Point"",""coordinates"":[-4.0615484,5.4468131]}",Accessoires de beaute,Salon Coiffure Monsieur Et Madame
"{""type"":""Point"",""coordinates"":[-4.0478859,5.4442799]}",Accessoires de beaute,S&S Salon Spa
"{""type"":""Point"",""coordinates"":[-3.9559827,5.3026821]}",Accessoires de beaute,Yarabistore Coiffure
"{""type"":""Point"",""coordinates"":[-3.9572936,5.3038225]}",Coiffeurs(ses),Klass'C Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9563106,5.3042926]}",Coiffeurs(ses),Americain Boys Coiffure
"{""type"":""Point"",""coordinates"":[-3.9563026,5.302839]}",Coiffeurs(ses),Salon De Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9567391,5.3028036]}",Accessoires de beaute,Berenice Coiffure
"{""type"":""Point"",""coordinates"":[-3.9578167,5.302367]}",Accessoires de beaute,Beaute Klinik
"{""type"":""Point"",""coordinates"":[-3.9576168,5.3016465]}",Accessoires de beaute,Les Jardin D'Antonelle
"{""type"":""Point"",""coordinates"":[-3.9586361,5.3016742]}",Coiffeurs(ses),Coiffure Homme Chez Mister Franklyn
"{""type"":""Point"",""coordinates"":[-3.9568866,5.2971583]}",Accessoires de beaute,Esthetique Coiffure
"{""type"":""Point"",""coordinates"":[-3.9570836,5.297595]}",Coiffeurs(ses),Kitoko Coiffure
"{""type"":""Point"",""coordinates"":[-3.9503051,5.2839727]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-3.9476962,5.3024294]}",Coiffeurs(ses),Coiffure
"{""type"":""Point"",""coordinates"":[-3.9493547,5.3011017]}",Accessoires de beaute,Spa Relax
"{""type"":""Point"",""coordinates"":[-3.9513111,5.3005512]}",Accessoires de beaute,Spa
"{""type"":""Point"",""coordinates"":[-3.9524509,5.3000971]}",Coiffeurs(ses),Coiffure Klass C
"{""type"":""Point"",""coordinates"":[-3.9532925,5.2999481]}",Accessoires de beaute,Spa Elegance
"{""type"":""Point"",""coordinates"":[-3.9556358,5.3001188]}",Coiffeurs(ses),Coiffure Men'S Institut
"{""type"":""Point"",""coordinates"":[-3.9644122,5.3028677]}",Coiffeurs(ses),Coiffure Femmes
"{""type"":""Point"",""coordinates"":[-3.9501636,5.3012459]}",Coiffeurs(ses),Chez Arnaud
"{""type"":""Point"",""coordinates"":[-3.9491095,5.3026053]}",Accessoires de beaute,Bissouma Beaute
"{""type"":""Point"",""coordinates"":[-3.9536157,5.3051285]}",Coiffeurs(ses),Tardy Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9533132,5.3038726]}",Coiffeurs(ses),Starboy-Look
"{""type"":""Point"",""coordinates"":[-3.9534098,5.304147]}",Accessoires de beaute,Aurore Esthetique
"{""type"":""Point"",""coordinates"":[-3.9538798,5.3031294]}",Accessoires de beaute,Pamela Esthetique
"{""type"":""Point"",""coordinates"":[-3.9546295,5.3031695]}",Coiffeurs(ses),Hamed Coiffure
"{""type"":""Point"",""coordinates"":[-3.9554087,5.3034286]}",Accessoires de beaute,Katia Beaute
"{""type"":""Point"",""coordinates"":[-3.9553765,5.3032042]}",Accessoires de beaute,Institut De Beute
"{""type"":""Point"",""coordinates"":[-3.9552277,5.3026948]}",Accessoires de beaute,La Fierte D'Une Dame
"{""type"":""Point"",""coordinates"":[-3.9551908,5.3025846]}",Coiffeurs(ses),Eden Coiffure
"{""type"":""Point"",""coordinates"":[-3.955802,5.3023663]}",Coiffeurs(ses),Marie Laure Coiffure
"{""type"":""Point"",""coordinates"":[-3.9543191,5.3046985]}",Coiffeurs(ses),Ds Coiffures
"{""type"":""Point"",""coordinates"":[-3.9515001,5.301742]}",Accessoires de beaute,Nail'S Univers Onglerie Coiffure Esthetique
"{""type"":""Point"",""coordinates"":[-3.9514799,5.3020104]}",Coiffeurs(ses),Dam Soum
"{""type"":""Point"",""coordinates"":[-3.9514431,5.3009021]}",Accessoires de beaute,Grace Divine
"{""type"":""Point"",""coordinates"":[-3.9502441,5.3011077]}",Coiffeurs(ses),State Coiffure Homme
"{""type"":""Point"",""coordinates"":[-3.9500798,5.3011324]}",Coiffeurs(ses),Salon De Coiffure Lucie
"{""type"":""Point"",""coordinates"":[-4.0808764,5.4330039]}",Coiffeurs(ses),Coiffure Dame
"{""type"":""Point"",""coordinates"":[-4.0834775,5.4299886]}",Coiffeurs(ses),Aza Coiffure
"{""type"":""Point"",""coordinates"":[-4.0844122,5.430018]}",Coiffeurs(ses),Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0790954,5.44283]}",Accessoires de beaute,J.Blessing Beauty Parlour
"{""type"":""Point"",""coordinates"":[-3.9500033,5.2890233]}",Coiffeurs(ses),Grace Divine Coiffure
"{""type"":""Point"",""coordinates"":[-3.9470171,5.2977052]}",Coiffeurs(ses),Coiffure Homme Et Femme
"{""type"":""Point"",""coordinates"":[-3.9492805,5.2906116]}",Coiffeurs(ses),Ephphatha (Coiffure)
"{""type"":""Point"",""coordinates"":[-3.9492297,5.2963367]}",Coiffeurs(ses),Etoile Coiffure
"{""type"":""Point"",""coordinates"":[-3.9494267,5.2970642]}",Coiffeurs(ses),Coiffure Femmes
"{""type"":""Point"",""coordinates"":[-3.9492946,5.2977579]}",Coiffeurs(ses),Ange Coiffure
"{""type"":""Point"",""coordinates"":[-3.9497888,5.2982901]}",Accessoires de beaute,Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0831482,5.4471195]}",Accessoires de beaute,Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0821263,5.444675]}",Coiffeurs(ses),Grace Divine Coiffure
"{""type"":""Point"",""coordinates"":[-4.082015,5.4448566]}",Coiffeurs(ses),Beco Coiffure
"{""type"":""Point"",""coordinates"":[-4.0755683,5.4423093]}",Coiffeurs(ses),Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0756226,5.4421831]}",Coiffeurs(ses),Merveille Femme
"{""type"":""Point"",""coordinates"":[-4.0649629,5.4469463]}",Accessoires de beaute,Salon De Beaute
"{""type"":""Point"",""coordinates"":[-4.0689164,5.4524183]}",Coiffeurs(ses),Klass' C
"{""type"":""Point"",""coordinates"":[-4.0676934,5.4438833]}",Coiffeurs(ses),Shama Coiffure
"{""type"":""Point"",""coordinates"":[-4.0650527,5.4469166]}",Coiffeurs(ses),Saummiya Coquette
"{""type"":""Point"",""coordinates"":[-4.0678385,5.4443856]}",Coiffeurs(ses),Bloom Beauty
"{""type"":""Point"",""coordinates"":[-4.0632286,5.4445657]}",Accessoires de beaute,Institut De Beaute Edm
"{""type"":""Point"",""coordinates"":[-4.0677845,5.4452451]}",Coiffeurs(ses),Suna Coiffure
"{""type"":""Point"",""coordinates"":[-4.0646229,5.4444741]}",Accessoires de beaute,Good Glory
"{""type"":""Point"",""coordinates"":[-4.0654601,5.4450402]}",Accessoires de beaute,Le Cur Yeux
"{""type"":""Point"",""coordinates"":[-4.0657065,5.4463906]}",Accessoires de beaute,The Beauty Room
"{""type"":""Point"",""coordinates"":[-4.0688977,5.450353]}",Coiffeurs(ses),Mini Hair
"{""type"":""Point"",""coordinates"":[-4.0664595,5.4497175]}",Coiffeurs(ses),Bea Coiffure
"{""type"":""Point"",""coordinates"":[-4.0660545,5.4481972]}",Coiffeurs(ses),Yira Fashion Coiffure Homme
"{""type"":""Point"",""coordinates"":[-4.0680052,5.4485634]}",Accessoires de beaute,Eunice Beaute
"{""type"":""Point"",""coordinates"":[-4.0695769,5.4505766]}",Coiffeurs(ses),Mustapha Dynamic
"{""type"":""Point"",""coordinates"":[-4.0695441,5.4497802]}",Accessoires de beaute,"Belle Nubian, Salon De Beaute"
"{""type"":""Point"",""coordinates"":[-4.0693329,5.4479806]}",Accessoires de beaute,"Dalanda Beauty, Salon De Beaute"
"{""type"":""Point"",""coordinates"":[-4.0670308,5.4531058]}",Accessoires de beaute,C&N Salon De Beaute Et De Vetements
"{""type"":""Point"",""coordinates"":[-4.0678918,5.4451777]}",Accessoires de beaute,Addict & Beauty Nail'S
"{""type"":""Point"",""coordinates"":[-4.0685892,5.4491605]}",Coiffeurs(ses),"Magic Hair, Salon De Coiffure Homme"
"{""type"":""Point"",""coordinates"":[-4.0707269,5.4530364]}",Accessoires de beaute,"Women'S World, Centre De Beaute"
"{""type"":""Point"",""coordinates"":[-4.0691753,5.4449828]}",Coiffeurs(ses),Clinic De La Beaute Du Jeunes
"{""type"":""Point"",""coordinates"":[-4.0655305,5.445412]}",Accessoires de beaute,Difference Beaute Soins De Visage
"{""type"":""Point"",""coordinates"":[-4.0700054,5.4461422]}",Accessoires de beaute,Mesmeches
"{""type"":""Point"",""coordinates"":[-4.0704555,5.4512299]}",Coiffeurs(ses),Class Coiffure
"{""type"":""Point"",""coordinates"":[-4.0678348,5.4513302]}",Accessoires de beaute,Pretty Dove
"{""type"":""Point"",""coordinates"":[-4.0740716,5.4483598]}",Coiffeurs(ses),1Er Choix Coiffure Et Esthetique
"{""type"":""Point"",""coordinates"":[-4.0805157,5.4521046]}",Accessoires de beaute,L'Or Des Ongles
"{""type"":""Point"",""coordinates"":[-4.0573092,5.4515452]}",Accessoires de beaute,"Gentlemen,Soin Corporel"
"{""type"":""Point"",""coordinates"":[-4.0639617,5.4538144]}",Accessoires de beaute,"Timite Et Sons, Soins De Beaute"
"{""type"":""Point"",""coordinates"":[-4.0655174,5.4534756]}",Accessoires de beaute,"Chez Eunice, Salon De Beaute"
"{""type"":""Point"",""coordinates"":[-4.0508846,5.4504231]}",Coiffeurs(ses),Elia Coiffure
"{""type"":""Point"",""coordinates"":[-4.0509456,5.4506133]}",Coiffeurs(ses),Emma Beaute
"{""type"":""Point"",""coordinates"":[-4.0501262,5.4504688]}",Coiffeurs(ses),Fashion House Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.0496991,5.4505149]}",Coiffeurs(ses),Kiosque Salon De Coiffure
"{""type"":""Point"",""coordinates"":[-4.0491036,5.4507448]}",Coiffeurs(ses),Salon De Coiffure Femme
"{""type"":""Point"",""coordinates"":[-4.075107,5.442316]}",Accessoires de beaute,Maguy B Espaces De Beaute
"{""type"":""Point"",""coordinates"":[-4.0566623,5.4458656]}",Accessoires de beaute,Institut De Beaute Mary Fashion
"{""type"":""Point"",""coordinates"":[-4.0572234,5.4465548]}",Coiffeurs(ses),Eyram Coiffure
"{""type"":""Point"",""coordinates"":[-4.0570279,5.4491538]}",Coiffeurs(ses),Bethel Coiffure
"{""type"":""Point"",""coordinates"":[-4.0652291,5.455828]}",Coiffeurs(ses),Salon De Beaute Coiffure
"{""type"":""Point"",""coordinates"":[-4.053646,5.4442485]}",Accessoires de beaute,Sublime Touch
"{""type"":""Point"",""coordinates"":[-4.0652482,5.4490607]}",Accessoires de beaute,Queen Cocktail De Beaute
"{""type"":""Point"",""coordinates"":[-4.0661665,5.448815]}",Accessoires de beaute,Soins De Beaute
