Coordonnees,Categorie,activities_name
"{""type"":""Point"",""coordinates"":[-4.0483882,5.4431744]}",Artisanat,Electronicien
"{""type"":""Point"",""coordinates"":[-4.0980982,5.3340744]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.036446,5.4371643]}",Artisanat,Reparation Tv
"{""type"":""Point"",""coordinates"":[-4.0373854,5.4378685]}",Artisanat,Cisco Froid
"{""type"":""Point"",""coordinates"":[-4.0402644,5.43823]}",Artisanat,Ferrailleur
"{""type"":""Point"",""coordinates"":[-4.0418214,5.4376906]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-3.9531221,5.2980764]}",Artisanat,Rebobinage
"{""type"":""Point"",""coordinates"":[-3.9532911,5.2988142]}",Artisanat,Reparateur De Sono
"{""type"":""Point"",""coordinates"":[-3.9532898,5.2988376]}",Artisanat,Reparateur De Machine
"{""type"":""Point"",""coordinates"":[-3.9545129,5.2985164]}",Artisanat,Vitrier
"{""type"":""Point"",""coordinates"":[-3.9542943,5.2941557]}",Artisanat,Reparateur Tv & Location Sono
"{""type"":""Point"",""coordinates"":[-4.0461814,5.4363109]}",Artisanat,Teinturier
"{""type"":""Point"",""coordinates"":[-3.9540247,5.297129]}",Artisanat,Reparateur Gaziniere
"{""type"":""Point"",""coordinates"":[-4.0530844,5.4435669]}",Artisanat,Froid Frigorifique
"{""type"":""Point"",""coordinates"":[-4.0530324,5.4435065]}",Artisanat,Reparateur Ventilateur
"{""type"":""Point"",""coordinates"":[-4.050545,5.4394958]}",Artisanat,Calligraphie
"{""type"":""Point"",""coordinates"":[-4.068445,5.4325379]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0659047,5.4324443]}",Artisanat,Atelier De Rebobinage
"{""type"":""Point"",""coordinates"":[-4.0568445,5.4283017]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-3.950578,5.2848594]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-3.953786,5.2978354]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-4.0696856,5.4284479]}",Artisanat,Calligraphe
"{""type"":""Point"",""coordinates"":[-3.9704331,5.2996956]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-3.9685539,5.3008006]}",Artisanat,Vulcanisateur
"{""type"":""Point"",""coordinates"":[-3.9683943,5.3012436]}",Artisanat,Frigoriste
"{""type"":""Point"",""coordinates"":[-3.9679447,5.3019109]}",Artisanat,Reparateur Ventilateur
"{""type"":""Point"",""coordinates"":[-3.9685656,5.3018969]}",Artisanat,Reparateur Tv
"{""type"":""Point"",""coordinates"":[-4.0334754,5.4296421]}",Artisanat,Blanchisserie
"{""type"":""Point"",""coordinates"":[-4.0388651,5.4340374]}",Artisanat,Vitrerie
"{""type"":""Point"",""coordinates"":[-4.0510033,5.4294412]}",Artisanat,Vulcanisation
"{""type"":""Point"",""coordinates"":[-4.0498017,5.430588]}",Artisanat,Reparateur Telephone
"{""type"":""Point"",""coordinates"":[-4.0385029,5.4291188]}",Artisanat,Reparateur Frigo
"{""type"":""Point"",""coordinates"":[-4.0523384,5.4272794]}",Artisanat,Reparateur Tv
